id,value,p(s),frequency,is_destination
497,"(IdleTime(0), PedestrianNearby(NO), IsTwoWheelNearby(NO), BlockProgress(INTERSECTION), LanePosition(ALIGNED), NextIntersection(NONE), Velocity(LOW), Rotation(LEFT), StopAreaNearby(STOP), IsZebraNearby(NO), IsTrafficLightNearby(NO), FrontObjects(YES))",0.00023987286738028844,8,0
498,"(IdleTime(0), PedestrianNearby(NO), IsTwoWheelNearby(NO), BlockProgress(INTERSECTION), LanePosition(OPPOSITE), NextIntersection(NONE), Velocity(MEDIUM), Rotation(FORWARD), StopAreaNearby(NO), IsZebraNearby(NO), IsTrafficLightNearby(NO), FrontObjects(NO))",0.0002098887589577524,7,0
499,"(IdleTime(0), PedestrianNearby(NO), IsTwoWheelNearby(NO), BlockProgress(INTERSECTION), LanePosition(OPPOSITE), NextIntersection(NONE), Velocity(MEDIUM), Rotation(LEFT), StopAreaNearby(STOP), IsZebraNearby(NO), IsTrafficLightNearby(NO), FrontObjects(YES))",2.9984108422536055e-05,1,0
500,"(IdleTime(0), PedestrianNearby(NO), IsTwoWheelNearby(NO), BlockProgress(INTERSECTION), LanePosition(ALIGNED), NextIntersection(NONE), Velocity(LOW), Rotation(LEFT), StopAreaNearby(NO), IsZebraNearby(NO), IsTrafficLightNearby(NO), FrontObjects(YES))",0.0011993643369014421,40,1
501,"(IdleTime(0), PedestrianNearby(NO), IsTwoWheelNearby(NO), BlockProgress(END), LanePosition(CENTER), NextIntersection(NONE), Velocity(MEDIUM), Rotation(RIGHT), StopAreaNearby(NO), IsZebraNearby(NO), IsTrafficLightNearby(NO), FrontObjects(NO))",0.0003298251926478966,11,1
502,"(IdleTime(0), PedestrianNearby(NO), IsTwoWheelNearby(NO), BlockProgress(INTERSECTION), LanePosition(OPPOSITE), NextIntersection(NONE), Velocity(MEDIUM), Rotation(RIGHT), StopAreaNearby(NO), IsZebraNearby(NO), IsTrafficLightNearby(NO), FrontObjects(NO))",5.996821684507211e-05,2,0
503,"(IdleTime(0), PedestrianNearby(NO), IsTwoWheelNearby(NO), BlockProgress(INTERSECTION), LanePosition(OPPOSITE), NextIntersection(NONE), Velocity(MEDIUM), Rotation(LEFT), StopAreaNearby(NO), IsZebraNearby(NO), IsTrafficLightNearby(NO), FrontObjects(YES))",8.995232526760817e-05,3,0
504,"(IdleTime(0), PedestrianNearby(NO), IsTwoWheelNearby(NO), BlockProgress(END), LanePosition(ALIGNED), NextIntersection(NONE), Velocity(LOW), Rotation(RIGHT), StopAreaNearby(NO), IsZebraNearby(NO), IsTrafficLightNearby(NO), FrontObjects(NO))",0.0008995232526760817,30,0
505,"(IdleTime(0), PedestrianNearby(NO), IsTwoWheelNearby(NO), BlockProgress(END), LanePosition(CENTER), NextIntersection(NONE), Velocity(LOW), Rotation(LEFT), StopAreaNearby(NO), IsZebraNearby(NO), IsTrafficLightNearby(NO), FrontObjects(NO))",0.00044976162633804086,15,0
506,"(IdleTime(0), PedestrianNearby(NO), IsTwoWheelNearby(NO), BlockProgress(END), LanePosition(ALIGNED), NextIntersection(NONE), Velocity(LOW), Rotation(LEFT), StopAreaNearby(NO), IsZebraNearby(NO), IsTrafficLightNearby(NO), FrontObjects(YES))",0.0009295073610986177,31,1
507,"(IdleTime(0), PedestrianNearby(NO), IsTwoWheelNearby(NO), BlockProgress(INTERSECTION), LanePosition(CENTER), NextIntersection(NONE), Velocity(MEDIUM), Rotation(RIGHT), StopAreaNearby(NO), IsZebraNearby(NO), IsTrafficLightNearby(NO), FrontObjects(NO))",2.9984108422536055e-05,1,0
508,"(IdleTime(0), PedestrianNearby(NO), IsTwoWheelNearby(NO), BlockProgress(END), LanePosition(ALIGNED), NextIntersection(NONE), Velocity(LOW), Rotation(RIGHT), StopAreaNearby(NO), IsZebraNearby(NO), IsTrafficLightNearby(NO), FrontObjects(YES))",0.0008995232526760817,30,1
509,"(IdleTime(0), PedestrianNearby(NO), IsTwoWheelNearby(NO), BlockProgress(INTERSECTION), LanePosition(ALIGNED), NextIntersection(NONE), Velocity(MEDIUM), Rotation(LEFT), StopAreaNearby(STOP), IsZebraNearby(NO), IsTrafficLightNearby(NO), FrontObjects(NO))",0.000539713951605649,18,1
510,"(IdleTime(0), PedestrianNearby(NO), IsTwoWheelNearby(NO), BlockProgress(INTERSECTION), LanePosition(OPPOSITE), NextIntersection(NONE), Velocity(MEDIUM), Rotation(LEFT), StopAreaNearby(STOP), IsZebraNearby(NO), IsTrafficLightNearby(NO), FrontObjects(NO))",0.00011993643369014422,4,0
511,"(IdleTime(0), PedestrianNearby(NO), IsTwoWheelNearby(NO), BlockProgress(END), LanePosition(ALIGNED), NextIntersection(RIGHT), Velocity(LOW), Rotation(RIGHT), StopAreaNearby(NO), IsZebraNearby(YES), IsTrafficLightNearby(NO), FrontObjects(NO))",2.9984108422536055e-05,1,0
512,"(IdleTime(0), PedestrianNearby(NO), IsTwoWheelNearby(NO), BlockProgress(INTERSECTION), LanePosition(OPPOSITE), NextIntersection(NONE), Velocity(MEDIUM), Rotation(FORWARD), StopAreaNearby(TURN_STOP), IsZebraNearby(NO), IsTrafficLightNearby(NO), FrontObjects(NO))",0.00017990465053521634,6,1
513,"(IdleTime(0), PedestrianNearby(NO), IsTwoWheelNearby(NO), BlockProgress(INTERSECTION), LanePosition(OPPOSITE), NextIntersection(NONE), Velocity(LOW), Rotation(FORWARD), StopAreaNearby(TURN_STOP), IsZebraNearby(YES), IsTrafficLightNearby(NO), FrontObjects(NO))",8.995232526760817e-05,3,0
514,"(IdleTime(0), PedestrianNearby(NO), IsTwoWheelNearby(NO), BlockProgress(MIDDLE), LanePosition(ALIGNED), NextIntersection(STRAIGHT), Velocity(LOW), Rotation(RIGHT), StopAreaNearby(TURN_STOP), IsZebraNearby(YES), IsTrafficLightNearby(NO), FrontObjects(NO))",5.996821684507211e-05,2,0
515,"(IdleTime(0), PedestrianNearby(NO), IsTwoWheelNearby(NO), BlockProgress(START), LanePosition(ALIGNED), NextIntersection(STRAIGHT), Velocity(LOW), Rotation(RIGHT), StopAreaNearby(TURN_STOP), IsZebraNearby(YES), IsTrafficLightNearby(NO), FrontObjects(NO))",8.995232526760817e-05,3,0
516,"(IdleTime(0), PedestrianNearby(NO), IsTwoWheelNearby(NO), BlockProgress(END), LanePosition(ALIGNED), NextIntersection(RIGHT), Velocity(STOPPED), Rotation(FORWARD), StopAreaNearby(STOP), IsZebraNearby(YES), IsTrafficLightNearby(NO), FrontObjects(NO))",2.9984108422536055e-05,1,0
517,"(IdleTime(4), PedestrianNearby(NO), IsTwoWheelNearby(NO), BlockProgress(END), LanePosition(ALIGNED), NextIntersection(RIGHT), Velocity(STOPPED), Rotation(FORWARD), StopAreaNearby(STOP), IsZebraNearby(YES), IsTrafficLightNearby(NO), FrontObjects(NO))",2.9984108422536055e-05,1,0
518,"(IdleTime(0), PedestrianNearby(NO), IsTwoWheelNearby(NO), BlockProgress(END), LanePosition(ALIGNED), NextIntersection(RIGHT), Velocity(LOW), Rotation(FORWARD), StopAreaNearby(STOP), IsZebraNearby(YES), IsTrafficLightNearby(NO), FrontObjects(NO))",0.00014992054211268027,5,0
519,"(IdleTime(0), PedestrianNearby(NO), IsTwoWheelNearby(NO), BlockProgress(START), LanePosition(ALIGNED), NextIntersection(STRAIGHT), Velocity(LOW), Rotation(RIGHT), StopAreaNearby(NO), IsZebraNearby(YES), IsTrafficLightNearby(NO), FrontObjects(NO))",0.00023987286738028844,8,0
520,"(IdleTime(0), PedestrianNearby(NO), IsTwoWheelNearby(NO), BlockProgress(END), LanePosition(ALIGNED), NextIntersection(RIGHT), Velocity(LOW), Rotation(RIGHT), StopAreaNearby(STOP), IsZebraNearby(YES), IsTrafficLightNearby(NO), FrontObjects(NO))",2.9984108422536055e-05,1,0
521,"(IdleTime(0), PedestrianNearby(NO), IsTwoWheelNearby(NO), BlockProgress(END), LanePosition(ALIGNED), NextIntersection(STRAIGHT), Velocity(LOW), Rotation(RIGHT), StopAreaNearby(TURN_STOP), IsZebraNearby(YES), IsTrafficLightNearby(NO), FrontObjects(NO))",0.0003298251926478966,11,0
522,"(IdleTime(0), PedestrianNearby(NO), IsTwoWheelNearby(NO), BlockProgress(MIDDLE), LanePosition(ALIGNED), NextIntersection(NONE), Velocity(STOPPED), Rotation(FORWARD), StopAreaNearby(NO), IsZebraNearby(NO), IsTrafficLightNearby(YES), FrontObjects(YES))",0.00011993643369014422,4,0
523,"(IdleTime(0), PedestrianNearby(NO), IsTwoWheelNearby(NO), BlockProgress(END), LanePosition(ALIGNED), NextIntersection(NONE), Velocity(MEDIUM), Rotation(FORWARD), StopAreaNearby(NO), IsZebraNearby(YES), IsTrafficLightNearby(YES), FrontObjects(YES))",0.00044976162633804086,15,1
524,"(IdleTime(5+), PedestrianNearby(NO), IsTwoWheelNearby(NO), BlockProgress(MIDDLE), LanePosition(ALIGNED), NextIntersection(NONE), Velocity(STOPPED), Rotation(FORWARD), StopAreaNearby(NO), IsZebraNearby(NO), IsTrafficLightNearby(YES), FrontObjects(YES))",0.0019489670474648437,65,1
525,"(IdleTime(4), PedestrianNearby(NO), IsTwoWheelNearby(NO), BlockProgress(MIDDLE), LanePosition(ALIGNED), NextIntersection(NONE), Velocity(STOPPED), Rotation(FORWARD), StopAreaNearby(NO), IsZebraNearby(NO), IsTrafficLightNearby(YES), FrontObjects(YES))",0.0004797457347605769,16,0
526,"(IdleTime(0), PedestrianNearby(NO), IsTwoWheelNearby(NO), BlockProgress(END), LanePosition(ALIGNED), NextIntersection(NONE), Velocity(MEDIUM), Rotation(FORWARD), StopAreaNearby(TURN_STOP), IsZebraNearby(YES), IsTrafficLightNearby(YES), FrontObjects(YES))",0.0008095709274084735,27,0
527,"(IdleTime(0), PedestrianNearby(NO), IsTwoWheelNearby(NO), BlockProgress(INTERSECTION), LanePosition(ALIGNED), NextIntersection(STRAIGHT), Velocity(HIGH), Rotation(LEFT), StopAreaNearby(NO), IsZebraNearby(YES), IsTrafficLightNearby(YES), FrontObjects(YES))",2.9984108422536055e-05,1,0
528,"(IdleTime(0), PedestrianNearby(NO), IsTwoWheelNearby(NO), BlockProgress(INTERSECTION), LanePosition(OPPOSITE), NextIntersection(STRAIGHT), Velocity(HIGH), Rotation(FORWARD), StopAreaNearby(TURN_STOP), IsZebraNearby(YES), IsTrafficLightNearby(YES), FrontObjects(YES))",5.996821684507211e-05,2,0
529,"(IdleTime(0), PedestrianNearby(NO), IsTwoWheelNearby(NO), BlockProgress(INTERSECTION), LanePosition(NONE), NextIntersection(STRAIGHT), Velocity(HIGH), Rotation(FORWARD), StopAreaNearby(TURN_STOP), IsZebraNearby(YES), IsTrafficLightNearby(YES), FrontObjects(NO))",2.9984108422536055e-05,1,0
530,"(IdleTime(0), PedestrianNearby(NO), IsTwoWheelNearby(NO), BlockProgress(MIDDLE), LanePosition(ALIGNED), NextIntersection(NONE), Velocity(MEDIUM), Rotation(FORWARD), StopAreaNearby(NO), IsZebraNearby(YES), IsTrafficLightNearby(YES), FrontObjects(YES))",0.0003298251926478966,11,0
531,"(IdleTime(0), PedestrianNearby(NO), IsTwoWheelNearby(NO), BlockProgress(MIDDLE), LanePosition(ALIGNED), NextIntersection(NONE), Velocity(MEDIUM), Rotation(FORWARD), StopAreaNearby(NO), IsZebraNearby(NO), IsTrafficLightNearby(YES), FrontObjects(YES))",0.0009295073610986177,31,0
532,"(IdleTime(0), PedestrianNearby(NO), IsTwoWheelNearby(NO), BlockProgress(INTERSECTION), LanePosition(ALIGNED), NextIntersection(STRAIGHT), Velocity(HIGH), Rotation(LEFT), StopAreaNearby(TURN_STOP), IsZebraNearby(YES), IsTrafficLightNearby(YES), FrontObjects(YES))",5.996821684507211e-05,2,0
533,"(IdleTime(0), PedestrianNearby(NO), IsTwoWheelNearby(NO), BlockProgress(INTERSECTION), LanePosition(ALIGNED), NextIntersection(STRAIGHT), Velocity(HIGH), Rotation(FORWARD), StopAreaNearby(TURN_STOP), IsZebraNearby(YES), IsTrafficLightNearby(YES), FrontObjects(NO))",0.0003897934094929687,13,0
534,"(IdleTime(0), PedestrianNearby(YES), IsTwoWheelNearby(NO), BlockProgress(START), LanePosition(ALIGNED), NextIntersection(STRAIGHT), Velocity(LOW), Rotation(RIGHT), StopAreaNearby(NO), IsZebraNearby(NO), IsTrafficLightNearby(NO), FrontObjects(YES))",0.00011993643369014422,4,0
535,"(IdleTime(0), PedestrianNearby(NO), IsTwoWheelNearby(NO), BlockProgress(START), LanePosition(ALIGNED), NextIntersection(STRAIGHT), Velocity(LOW), Rotation(LEFT), StopAreaNearby(NO), IsZebraNearby(NO), IsTrafficLightNearby(NO), FrontObjects(NO))",0.0005996821684507211,20,0
536,"(IdleTime(0), PedestrianNearby(NO), IsTwoWheelNearby(NO), BlockProgress(INTERSECTION), LanePosition(ALIGNED), NextIntersection(NONE), Velocity(MEDIUM), Rotation(RIGHT), StopAreaNearby(NO), IsZebraNearby(YES), IsTrafficLightNearby(NO), FrontObjects(NO))",0.0009594914695211538,32,0
537,"(IdleTime(0), PedestrianNearby(YES), IsTwoWheelNearby(NO), BlockProgress(START), LanePosition(ALIGNED), NextIntersection(STRAIGHT), Velocity(STOPPED), Rotation(RIGHT), StopAreaNearby(NO), IsZebraNearby(NO), IsTrafficLightNearby(NO), FrontObjects(NO))",2.9984108422536055e-05,1,0
538,"(IdleTime(0), PedestrianNearby(YES), IsTwoWheelNearby(NO), BlockProgress(START), LanePosition(ALIGNED), NextIntersection(STRAIGHT), Velocity(LOW), Rotation(FORWARD), StopAreaNearby(NO), IsZebraNearby(NO), IsTrafficLightNearby(NO), FrontObjects(NO))",2.9984108422536055e-05,1,0
539,"(IdleTime(0), PedestrianNearby(YES), IsTwoWheelNearby(NO), BlockProgress(START), LanePosition(ALIGNED), NextIntersection(STRAIGHT), Velocity(LOW), Rotation(RIGHT), StopAreaNearby(NO), IsZebraNearby(NO), IsTrafficLightNearby(NO), FrontObjects(NO))",5.996821684507211e-05,2,0
540,"(IdleTime(0), PedestrianNearby(YES), IsTwoWheelNearby(NO), BlockProgress(START), LanePosition(ALIGNED), NextIntersection(STRAIGHT), Velocity(LOW), Rotation(LEFT), StopAreaNearby(NO), IsZebraNearby(NO), IsTrafficLightNearby(NO), FrontObjects(NO))",5.996821684507211e-05,2,0
541,"(IdleTime(0), PedestrianNearby(NO), IsTwoWheelNearby(NO), BlockProgress(INTERSECTION), LanePosition(ALIGNED), NextIntersection(LEFT), Velocity(LOW), Rotation(LEFT), StopAreaNearby(TURN_STOP), IsZebraNearby(YES), IsTrafficLightNearby(NO), FrontObjects(NO))",8.995232526760817e-05,3,0
542,"(IdleTime(0), PedestrianNearby(NO), IsTwoWheelNearby(NO), BlockProgress(START), LanePosition(CENTER), NextIntersection(NONE), Velocity(MEDIUM), Rotation(LEFT), StopAreaNearby(TURN_STOP), IsZebraNearby(YES), IsTrafficLightNearby(NO), FrontObjects(YES))",2.9984108422536055e-05,1,0
543,"(IdleTime(0), PedestrianNearby(NO), IsTwoWheelNearby(NO), BlockProgress(END), LanePosition(ALIGNED), NextIntersection(STRAIGHT), Velocity(MEDIUM), Rotation(FORWARD), StopAreaNearby(STOP), IsZebraNearby(NO), IsTrafficLightNearby(NO), FrontObjects(YES))",0.00011993643369014422,4,0
544,"(IdleTime(0), PedestrianNearby(NO), IsTwoWheelNearby(NO), BlockProgress(INTERSECTION), LanePosition(ALIGNED), NextIntersection(NONE), Velocity(MEDIUM), Rotation(LEFT), StopAreaNearby(STOP), IsZebraNearby(YES), IsTrafficLightNearby(NO), FrontObjects(NO))",0.0002098887589577524,7,0
545,"(IdleTime(0), PedestrianNearby(NO), IsTwoWheelNearby(NO), BlockProgress(START), LanePosition(CENTER), NextIntersection(NONE), Velocity(MEDIUM), Rotation(LEFT), StopAreaNearby(NO), IsZebraNearby(YES), IsTrafficLightNearby(NO), FrontObjects(YES))",2.9984108422536055e-05,1,0
546,"(IdleTime(0), PedestrianNearby(NO), IsTwoWheelNearby(NO), BlockProgress(INTERSECTION), LanePosition(CENTER), NextIntersection(NONE), Velocity(MEDIUM), Rotation(LEFT), StopAreaNearby(STOP), IsZebraNearby(YES), IsTrafficLightNearby(NO), FrontObjects(YES))",2.9984108422536055e-05,1,0
547,"(IdleTime(0), PedestrianNearby(NO), IsTwoWheelNearby(NO), BlockProgress(INTERSECTION), LanePosition(ALIGNED), NextIntersection(LEFT), Velocity(STOPPED), Rotation(FORWARD), StopAreaNearby(TURN_STOP), IsZebraNearby(YES), IsTrafficLightNearby(NO), FrontObjects(NO))",2.9984108422536055e-05,1,0
548,"(IdleTime(0), PedestrianNearby(NO), IsTwoWheelNearby(NO), BlockProgress(END), LanePosition(ALIGNED), NextIntersection(STRAIGHT), Velocity(MEDIUM), Rotation(FORWARD), StopAreaNearby(STOP), IsZebraNearby(YES), IsTrafficLightNearby(NO), FrontObjects(YES))",8.995232526760817e-05,3,0
549,"(IdleTime(0), PedestrianNearby(NO), IsTwoWheelNearby(NO), BlockProgress(INTERSECTION), LanePosition(ALIGNED), NextIntersection(LEFT), Velocity(MEDIUM), Rotation(FORWARD), StopAreaNearby(TURN_STOP), IsZebraNearby(YES), IsTrafficLightNearby(NO), FrontObjects(YES))",2.9984108422536055e-05,1,0
550,"(IdleTime(0), PedestrianNearby(NO), IsTwoWheelNearby(NO), BlockProgress(END), LanePosition(CENTER), NextIntersection(NONE), Velocity(MEDIUM), Rotation(LEFT), StopAreaNearby(NO), IsZebraNearby(NO), IsTrafficLightNearby(NO), FrontObjects(YES))",0.00029984108422536054,10,1
551,"(IdleTime(0), PedestrianNearby(NO), IsTwoWheelNearby(NO), BlockProgress(MIDDLE), LanePosition(ALIGNED), NextIntersection(LEFT), Velocity(LOW), Rotation(LEFT), StopAreaNearby(TURN_STOP), IsZebraNearby(YES), IsTrafficLightNearby(NO), FrontObjects(NO))",0.00017990465053521634,6,0
552,"(IdleTime(0), PedestrianNearby(NO), IsTwoWheelNearby(NO), BlockProgress(INTERSECTION), LanePosition(ALIGNED), NextIntersection(LEFT), Velocity(LOW), Rotation(FORWARD), StopAreaNearby(TURN_STOP), IsZebraNearby(YES), IsTrafficLightNearby(NO), FrontObjects(NO))",0.0003298251926478966,11,0
553,"(IdleTime(0), PedestrianNearby(NO), IsTwoWheelNearby(NO), BlockProgress(END), LanePosition(CENTER), NextIntersection(LEFT), Velocity(MEDIUM), Rotation(LEFT), StopAreaNearby(TURN_STOP), IsZebraNearby(YES), IsTrafficLightNearby(NO), FrontObjects(NO))",2.9984108422536055e-05,1,0
554,"(IdleTime(4), PedestrianNearby(NO), IsTwoWheelNearby(NO), BlockProgress(INTERSECTION), LanePosition(ALIGNED), NextIntersection(LEFT), Velocity(STOPPED), Rotation(FORWARD), StopAreaNearby(TURN_STOP), IsZebraNearby(YES), IsTrafficLightNearby(NO), FrontObjects(NO))",2.9984108422536055e-05,1,0
555,"(IdleTime(0), PedestrianNearby(NO), IsTwoWheelNearby(NO), BlockProgress(INTERSECTION), LanePosition(CENTER), NextIntersection(NONE), Velocity(MEDIUM), Rotation(LEFT), StopAreaNearby(STOP), IsZebraNearby(YES), IsTrafficLightNearby(NO), FrontObjects(NO))",2.9984108422536055e-05,1,0
556,"(IdleTime(0), PedestrianNearby(NO), IsTwoWheelNearby(NO), BlockProgress(END), LanePosition(ALIGNED), NextIntersection(STRAIGHT), Velocity(MEDIUM), Rotation(RIGHT), StopAreaNearby(NO), IsZebraNearby(YES), IsTrafficLightNearby(NO), FrontObjects(YES))",8.995232526760817e-05,3,0
557,"(IdleTime(0), PedestrianNearby(NO), IsTwoWheelNearby(NO), BlockProgress(START), LanePosition(ALIGNED), NextIntersection(NONE), Velocity(LOW), Rotation(RIGHT), StopAreaNearby(TURN_STOP), IsZebraNearby(YES), IsTrafficLightNearby(YES), FrontObjects(NO))",0.00011993643369014422,4,0
558,"(IdleTime(0), PedestrianNearby(NO), IsTwoWheelNearby(NO), BlockProgress(INTERSECTION), LanePosition(ALIGNED), NextIntersection(NONE), Velocity(LOW), Rotation(FORWARD), StopAreaNearby(NO), IsZebraNearby(YES), IsTrafficLightNearby(YES), FrontObjects(NO))",0.0004197775179155048,14,0
559,"(IdleTime(0), PedestrianNearby(NO), IsTwoWheelNearby(NO), BlockProgress(INTERSECTION), LanePosition(ALIGNED), NextIntersection(NONE), Velocity(LOW), Rotation(RIGHT), StopAreaNearby(NO), IsZebraNearby(YES), IsTrafficLightNearby(YES), FrontObjects(NO))",0.0002698569758028245,9,0
560,"(IdleTime(4), PedestrianNearby(NO), IsTwoWheelNearby(NO), BlockProgress(START), LanePosition(ALIGNED), NextIntersection(NONE), Velocity(STOPPED), Rotation(RIGHT), StopAreaNearby(TURN_STOP), IsZebraNearby(YES), IsTrafficLightNearby(YES), FrontObjects(NO))",0.0003598093010704327,12,0
561,"(IdleTime(5+), PedestrianNearby(NO), IsTwoWheelNearby(NO), BlockProgress(START), LanePosition(ALIGNED), NextIntersection(NONE), Velocity(STOPPED), Rotation(RIGHT), StopAreaNearby(TURN_STOP), IsZebraNearby(YES), IsTrafficLightNearby(YES), FrontObjects(NO))",0.002608617432760637,87,1
562,"(IdleTime(0), PedestrianNearby(NO), IsTwoWheelNearby(NO), BlockProgress(START), LanePosition(ALIGNED), NextIntersection(NONE), Velocity(STOPPED), Rotation(RIGHT), StopAreaNearby(TURN_STOP), IsZebraNearby(YES), IsTrafficLightNearby(YES), FrontObjects(NO))",8.995232526760817e-05,3,0
563,"(IdleTime(0), PedestrianNearby(NO), IsTwoWheelNearby(NO), BlockProgress(INTERSECTION), LanePosition(ALIGNED), NextIntersection(NONE), Velocity(MEDIUM), Rotation(RIGHT), StopAreaNearby(NO), IsZebraNearby(YES), IsTrafficLightNearby(YES), FrontObjects(NO))",0.00029984108422536054,10,1
564,"(IdleTime(0), PedestrianNearby(NO), IsTwoWheelNearby(NO), BlockProgress(END), LanePosition(ALIGNED), NextIntersection(STRAIGHT), Velocity(MEDIUM), Rotation(RIGHT), StopAreaNearby(NO), IsZebraNearby(YES), IsTrafficLightNearby(YES), FrontObjects(NO))",0.00011993643369014422,4,0
565,"(IdleTime(0), PedestrianNearby(NO), IsTwoWheelNearby(NO), BlockProgress(END), LanePosition(ALIGNED), NextIntersection(STRAIGHT), Velocity(MEDIUM), Rotation(RIGHT), StopAreaNearby(NO), IsZebraNearby(YES), IsTrafficLightNearby(NO), FrontObjects(NO))",0.0006596503852957932,22,0
566,"(IdleTime(0), PedestrianNearby(NO), IsTwoWheelNearby(NO), BlockProgress(END), LanePosition(ALIGNED), NextIntersection(STRAIGHT), Velocity(MEDIUM), Rotation(LEFT), StopAreaNearby(NO), IsZebraNearby(YES), IsTrafficLightNearby(NO), FrontObjects(NO))",0.0003598093010704327,12,0
567,"(IdleTime(0), PedestrianNearby(NO), IsTwoWheelNearby(NO), BlockProgress(START), LanePosition(ALIGNED), NextIntersection(NONE), Velocity(MEDIUM), Rotation(FORWARD), StopAreaNearby(NO), IsZebraNearby(YES), IsTrafficLightNearby(NO), FrontObjects(YES))",0.0007496027105634014,25,1
568,"(IdleTime(0), PedestrianNearby(NO), IsTwoWheelNearby(NO), BlockProgress(INTERSECTION), LanePosition(ALIGNED), NextIntersection(NONE), Velocity(MEDIUM), Rotation(LEFT), StopAreaNearby(NO), IsZebraNearby(YES), IsTrafficLightNearby(NO), FrontObjects(YES))",0.00011993643369014422,4,0
569,"(IdleTime(0), PedestrianNearby(NO), IsTwoWheelNearby(NO), BlockProgress(START), LanePosition(CENTER), NextIntersection(NONE), Velocity(MEDIUM), Rotation(FORWARD), StopAreaNearby(NO), IsZebraNearby(NO), IsTrafficLightNearby(NO), FrontObjects(NO))",0.002248808131690204,75,1
570,"(IdleTime(0), PedestrianNearby(NO), IsTwoWheelNearby(NO), BlockProgress(INTERSECTION), LanePosition(OPPOSITE), NextIntersection(NONE), Velocity(MEDIUM), Rotation(FORWARD), StopAreaNearby(NO), IsZebraNearby(YES), IsTrafficLightNearby(NO), FrontObjects(YES))",2.9984108422536055e-05,1,0
571,"(IdleTime(0), PedestrianNearby(NO), IsTwoWheelNearby(NO), BlockProgress(START), LanePosition(ALIGNED), NextIntersection(NONE), Velocity(LOW), Rotation(LEFT), StopAreaNearby(NO), IsZebraNearby(NO), IsTrafficLightNearby(NO), FrontObjects(NO))",0.0009594914695211538,32,0
572,"(IdleTime(0), PedestrianNearby(NO), IsTwoWheelNearby(NO), BlockProgress(INTERSECTION), LanePosition(CENTER), NextIntersection(NONE), Velocity(MEDIUM), Rotation(LEFT), StopAreaNearby(NO), IsZebraNearby(YES), IsTrafficLightNearby(NO), FrontObjects(NO))",2.9984108422536055e-05,1,0
573,"(IdleTime(0), PedestrianNearby(NO), IsTwoWheelNearby(NO), BlockProgress(END), LanePosition(ALIGNED), NextIntersection(STRAIGHT), Velocity(HIGH), Rotation(FORWARD), StopAreaNearby(TURN_STOP), IsZebraNearby(YES), IsTrafficLightNearby(YES), FrontObjects(YES))",0.00014992054211268027,5,0
574,"(IdleTime(0), PedestrianNearby(NO), IsTwoWheelNearby(NO), BlockProgress(END), LanePosition(ALIGNED), NextIntersection(STRAIGHT), Velocity(HIGH), Rotation(FORWARD), StopAreaNearby(NO), IsZebraNearby(YES), IsTrafficLightNearby(YES), FrontObjects(NO))",0.00029984108422536054,10,0
575,"(IdleTime(0), PedestrianNearby(NO), IsTwoWheelNearby(NO), BlockProgress(START), LanePosition(ALIGNED), NextIntersection(NONE), Velocity(MEDIUM), Rotation(FORWARD), StopAreaNearby(TURN_STOP), IsZebraNearby(NO), IsTrafficLightNearby(YES), FrontObjects(NO))",0.0002098887589577524,7,0
576,"(IdleTime(0), PedestrianNearby(NO), IsTwoWheelNearby(NO), BlockProgress(END), LanePosition(ALIGNED), NextIntersection(STRAIGHT), Velocity(MEDIUM), Rotation(LEFT), StopAreaNearby(TURN_STOP), IsZebraNearby(NO), IsTrafficLightNearby(NO), FrontObjects(NO))",0.0006596503852957932,22,0
577,"(IdleTime(0), PedestrianNearby(NO), IsTwoWheelNearby(NO), BlockProgress(INTERSECTION), LanePosition(CENTER), NextIntersection(STRAIGHT), Velocity(MEDIUM), Rotation(RIGHT), StopAreaNearby(NO), IsZebraNearby(NO), IsTrafficLightNearby(YES), FrontObjects(YES))",2.9984108422536055e-05,1,0
578,"(IdleTime(0), PedestrianNearby(NO), IsTwoWheelNearby(NO), BlockProgress(END), LanePosition(ALIGNED), NextIntersection(RIGHT), Velocity(LOW), Rotation(FORWARD), StopAreaNearby(TURN_STOP), IsZebraNearby(YES), IsTrafficLightNearby(YES), FrontObjects(YES))",0.0003298251926478966,11,0
579,"(IdleTime(0), PedestrianNearby(NO), IsTwoWheelNearby(NO), BlockProgress(END), LanePosition(ALIGNED), NextIntersection(RIGHT), Velocity(LOW), Rotation(RIGHT), StopAreaNearby(TURN_STOP), IsZebraNearby(YES), IsTrafficLightNearby(YES), FrontObjects(NO))",0.0011993643369014421,40,0
580,"(IdleTime(0), PedestrianNearby(NO), IsTwoWheelNearby(NO), BlockProgress(START), LanePosition(CENTER), NextIntersection(STRAIGHT), Velocity(MEDIUM), Rotation(RIGHT), StopAreaNearby(NO), IsZebraNearby(NO), IsTrafficLightNearby(YES), FrontObjects(NO))",8.995232526760817e-05,3,0
581,"(IdleTime(0), PedestrianNearby(NO), IsTwoWheelNearby(NO), BlockProgress(START), LanePosition(ALIGNED), NextIntersection(STRAIGHT), Velocity(MEDIUM), Rotation(RIGHT), StopAreaNearby(TURN_STOP), IsZebraNearby(NO), IsTrafficLightNearby(NO), FrontObjects(NO))",0.0003598093010704327,12,0
